Catalogue No.,Lot Number,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Title,Handwritten Note,Object Type,Object Notes,Inscription,Seller,Transaction,Buyer,Lot Notes,Previous Owner,Previous Sales,Post Owner,Post Sales,Present Location,Sale Date,Expert,Commissaire Pr.,Auction House,Sale Location,Lugt Number,Copyright,Year of Sale,# of instances in year,latitude/longitude,,latitude,longitude
Br-A31,94,"MOLENAER, JAN MIENSE (Dutch)",,,,,A piece of Mullenear a Tippling,,Painting,,,,Unknown,,,,,,,,1690 Apr 15,,,Anonymous,"London, England",40,,1690,1,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A34,35,"MOLENAER, JAN MIENSE (Dutch)",,,,,A Dr. sitting on a Table by John Molener,,Painting,,,,Unknown,,,,,,,,1690 May 05,,,Anonymous,"London, England",43,,1690,2,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A111,49,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Two Children playing, by Moliner.",,Painting,,,,Unknown,,,,,,,,1691 Nov 09 - 1691 Nov 11,,,Anonymous,"London, England",116,,1691,1,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A114,103,"MOLENAER, JAN MIENSE (Dutch)",,,,,a Musick piece very fine by Mullenaer,,Painting,,,,Unknown,,,,,,,,1691 Nov 17,,,Bullord (John),"London, England",119,,1691,2,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A139,242,"MOLENAER, JAN MIENSE (Dutch)",,,,,a Landskip by Moliner,,Painting,,,,Unknown,,,,,,,,1692 Feb 24 - 1692 Feb 26,,,Verryck (Ferdinando),"London, England",147,,1692,1,"51.5073219, -0.1276474",,51.5073219, -0.1276474
N-A10,0009 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere Maeltyd, van Jan Miense Molenaer",,Painting,,,,"Unknown, 18:05 fl",,,,,,,,1695 Apr 13,,,Anonymous,"Amsterdam, Netherlands",156,,1695,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A12,0010 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,Een Geselschap van Jan Miense Molenaer,,Painting,,,,"Unknown, 17:10 fl",,,,,,,,1696 May 09,,,Anonymous,"Amsterdam, Netherlands",161,,1696,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A14,0031 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,Een Hantje Klap van Jan Miensz. Molenaer,,Painting,,,"Popta, Henrietta; from catalog: Henrietta Popta","Unknown, 52:00:00 fl",,,,,,,,1697 Apr 05,,,Anonymous,"Amsterdam, Netherlands",164,,1697,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A15,0024 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Twee Boere Geseldschapjes, van Jan Miense Molenaer",,Painting,,,,"Unknown, 15:10 fl",,,,,,,,1698 Apr 11,,,Anonymous,"Amsterdam, Netherlands",166,,1698,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A16,0042 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,Een Geseldschap van Jan Miense Molenaer,,Painting,,,,"Unknown, 20:10 fl",,,,,,,,1699 Apr 15,,,Anonymous,"Amsterdam, Netherlands",168,,1699,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A16,0043 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,Een van denzelven,,Painting,,,,Unknown,,,,,,,,1699 Apr 15,,,Anonymous,"Amsterdam, Netherlands",168,,1699,2,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A27,0026 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere Geseldschap, van Jan Miensz. Molenaer [deze 3 seer zyn fraei]",,Painting,,,,"Unknown, 34:00:00 fl",,The bracketed information in the title appears in lot 28 and refers to lots 26-28.,,,,,,1705 Jun 10,,,Jan Pietersz. Zomer,"Amsterdam, Netherlands",193,,1705,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A27,0027 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"De Konink Drinkt, van dito [deze 3 seer zyn fraei]",,Painting,,,,"Unknown, 28:00:00 fl",,The bracketed information in the title appears in lot 28 and refers to lots 26-28.,,,,,,1705 Jun 10,,,Jan Pietersz. Zomer,"Amsterdam, Netherlands",193,,1705,2,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A27,0028 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"De Geboorte Christi, van dezelve, deze 3 seer zyn fraei",,Painting,,,,"Unknown, 75:00:00 fl",,deze 3 in the title refers to lots 26-28.,,,,,,1705 Jun 10,,,Jan Pietersz. Zomer,"Amsterdam, Netherlands",193,,1705,3,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A32,0022 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Weerga, van Jan Miense Molenaer (Companion to lot 21, a Boere Geselschap; by A. van Ostade)",,Painting,,,"Daems, Antoni; from catalog: Antoni Daems","Unknown, 62:00:00 fl for lots 21 & 22",,,,,,,,1706 Apr 28,,,Jan Pietersz. Zomer,"Amsterdam, Netherlands",198,,1706,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A38,0111 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Bidders aen den Dis, van Jan Miense Molenaer",,Painting,,,"Court, Petronella de la; from catalog: Petronella dela Court","Unknown, 21:00 fl",,,,,,,,1707 Oct 19,,,Zomer (Jan Pietersz.),"Amsterdam, Netherlands",207,,1707,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A40,0048 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"2 Stuks Geseldschapjes, van Jan Miensz. Molenaer",,Painting,,,,"Unknown, 21:20 fl",,,,,,,,1708 Mar 28,,,Jan Pietersz. Zomer,"Amsterdam, Netherlands",211,,1708,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A67,0092 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,Twee kleyne Stukjes van J. Molenaer.,,Painting,,,"Suchtelen, Nicolaes van; from catalog: Nicolas van Suchtelen","Unknown, 6:10 fl",,,,,,,,1715 Apr 17,,,Anonymous,"Hoorn, Netherlands",249,,1715,1,"52.62254545, 5.06772658814782",,52.62254545, 5.06772658814782
N-A72,0086 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere Bruyloft, van Jan Miensz. Molenaer",,Painting,,,,"Unknown, 30:00:00 fl",,,,,,,,1716 May 06,,,Anonymous,"Amsterdam, Netherlands",256,,1716,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A74,0050 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere Gezeldschapje, van Jan Miense Molenaer.",,Painting,,,"Witsen, Jonas; from catalog: Jonas Witsen, Scheepen, &c. &c.","Unknown, 12:00 fl",,,,,,,,1717 Mar 23,,,Zomer (Jan Pietersz.),"Amsterdam, Netherlands",260,,1717,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A74,0054 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere Gezeldschapje, van Molenaer.",,Painting,,,"Witsen, Jonas; from catalog: Jonas Witsen, Scheepen, &c. &c.","Unknown, 16:00 fl",,,,,,,,1717 Mar 23,,,Zomer (Jan Pietersz.),"Amsterdam, Netherlands",260,,1717,2,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A74,0094 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boertje met een Meysje, door Molenaer.",,Painting,,,"Witsen, Jonas; from catalog: Jonas Witsen, Scheepen, &c. &c.","Unknown, 7:10 fl",,,,,,,,1717 Mar 23,,,Zomer (Jan Pietersz.),"Amsterdam, Netherlands",260,,1717,3,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A79,0082 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Kaertspeelders, door Jan Miensz. Molenaer",,Painting,,,"Hoek, Jacob van; from catalog: Jacob van Hoek","Unknown, 31:00:00 fl",,,,,,,,1719 Apr 12,,,Zomer (Jan Pietersz.),"Amsterdam, Netherlands",272,,1719,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A79,0083 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere gevegt van dezelve, beyde goet",,Painting,,,"Hoek, Jacob van; from catalog: Jacob van Hoek","Unknown, 22:00 fl",,,,,,,,1719 Apr 12,,,Zomer (Jan Pietersz.),"Amsterdam, Netherlands",272,,1719,2,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A94,0069 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere Geseldschapje, door J. Molenaer.",,Painting,,,"Bruyn, George; from catalog: George Bruyn","Unknown, 6:10 fl for lots 69 & 70",,,,,,,,1724 Mar 16,,,Kerfbyl (Hendrik),"Amsterdam, Netherlands",314,,1724,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A94,0070 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,Een dito [Boere Geseldschapje] van denzelve.,,Painting,,,"Bruyn, George; from catalog: George Bruyn","Unknown, 6:10 fl for lots 69 & 70",,,,,,,,1724 Mar 16,,,Kerfbyl (Hendrik),"Amsterdam, Netherlands",314,,1724,2,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A102,0051 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Eenige Boertjes, door Moolenaer",,Painting,,,,"Unknown, 3:10 fl",,,,,,,,1728 Mar 25,,,Anonymous,"Amsterdam, Netherlands",367,,1728,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A102,0059 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Twee stukjes, door Jan Miensze Molenaer",,Painting,,,,"Unknown, 10:05 fl",,,,,,,,1728 Mar 25,,,Anonymous,"Amsterdam, Netherlands",367,,1728,2,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A102,0063 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Twee kleine stukjes, door Jan Miensze Molenaer",,Painting,,,,"Unknown, 2:00 fl",,,,,,,,1728 Mar 25,,,Anonymous,"Amsterdam, Netherlands",367,,1728,3,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A102,0071 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere Geseldschap, door Jan Miensze Molenaer",,Painting,,,,"Unknown, 14:00 fl",,,,,,,,1728 Mar 25,,,Anonymous,"Amsterdam, Netherlands",367,,1728,4,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A103,0103 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een BoereGeseldschap, door Molenaer",,Painting,,,"Grill, Antony; from catalog: Antony Grill","Unknown, 25:00:00 fl",,,,,,,,1728 Apr 14,,,Anonymous,"Amsterdam, Netherlands",370,,1728,5,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A104,0013 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een kapitael stuk, van Jan Miensze Molenaer, heel fraei",,Painting,,,"Cosson, Philip; from catalog: Philip Cosson","Unknown, 70:00:00 fl",,,,,,,,1729 Mar 18,,,Anonymous,"Amsterdam, Netherlands",380,,1729,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A105,0021 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere Bruiloft vol gewoel van J. Molenaer, Capitael en goed",,Painting,,,"Looten, Govert; from catalog: Govert Looten","Unknown, 32:00:00 fl",,,,,,,,1729 Mar 31,,,Anonymous,"Amsterdam, Netherlands",381,,1729,2,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A105,0022 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,Daerze handjeplak spelen van denzelven,,Painting,,,"Looten, Govert; from catalog: Govert Looten","Unknown, 9:00 fl",,,,,,,,1729 Mar 31,,,Anonymous,"Amsterdam, Netherlands",381,,1729,3,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A105,0057 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Visboertje, van J. M. Molenaer",,Painting,,,"Looten, Govert; from catalog: Govert Looten","Unknown, 5:05 fl",,,,,,,,1729 Mar 31,,,Anonymous,"Amsterdam, Netherlands",381,,1729,4,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
Br-A302,23,"MOLENAER, JAN MIENSE (Dutch)",,,,,"A Sea Piece, by Molinier",,Painting,,,,Unknown,,,,,,,,1730 Apr 01 - 1730 Apr  3 (This Lot: Apr  1),,,Cooper,"London, England",330,,1730,1,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A302,149,"MOLENAER, JAN MIENSE (Dutch)",,,,,"a School Master, Mollineer",,Painting,,,,Unknown,,,,,,,,1730 Apr 01 - 1730 Apr  3 (This Lot: Apr  3),,,Cooper,"London, England",330,,1730,2,"51.5073219, -0.1276474",,51.5073219, -0.1276474
N-A112,0042 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere-Bruyloft met veel Beelden, door Jan Miense Molenaer",,Painting,,,"Deutz, Anthony; from catalog: Anthony Deutz","Unknown, 19:00 fl",,,,,,,,1731 Mar 07,,,Anonymous,"Amsterdam, Netherlands",404,,1731,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A118,0057 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Vrolyk Boere Geseldschap, door Jan Molenaer",,Painting,,,"Coninck, Hilgonda, Weduwe van Joan Boterpot and Coninck, Cornelia; Coninck, Cornelia and Coninck, Hilgonda; from catalog: Hilgonda Coninck, Weduwe va Joan Boterpot, Burgermeester der Stad Hoorn [and] Cornelia Coninck","Unknown, 49:00:00 fl",,,,,,,,1733 Mar 24,,,Anonymous,"Hoorn, Netherlands",422,,1733,1,"52.62254545, 5.06772658814782",,52.62254545, 5.06772658814782
N-A118,0061 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Drie stukjes, zynde het Gehoor, de Smaek en Reuk, door Jan Miensz. Molenaer",,Painting,,,"Coninck, Hilgonda, Weduwe van Joan Boterpot and Coninck, Cornelia; Coninck, Cornelia and Coninck, Hilgonda; from catalog: Hilgonda Coninck, Weduwe va Joan Boterpot, Burgermeester der Stad Hoorn [and] Cornelia Coninck","Unknown, 7:10 fl",,,,,,,,1733 Mar 24,,,Anonymous,"Hoorn, Netherlands",422,,1733,2,"52.62254545, 5.06772658814782",,52.62254545, 5.06772658814782
N-A135,0166 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere Geseldschap, door Molenaar, van zyn beste tyt, h. 1 v. 7 d. br. 1 v. 2 en een vierde d.",,Painting,"h 1 voet 7 duim, b 1 voet 2 1/4 duim",,"Huls, Samuel van; from catalog: Mr. Samuel van Huls, Burgermeester van 's Gravenhage","Unknown, 31:10:00 fl",,,,,,,,1737 Sep 03,,,Anonymous,"Den Haag, Netherlands",474,,1737,1,"52.07494555, 4.26968022053645",,52.07494555, 4.26968022053645
N-A139,0062 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Vrolyk Boere Gezeldschap, door J.M. Molenaar",,Painting,,,,"Unknown, 27:00:00 fl",,,,,,,,1738 Oct 01,,,Anonymous,"Amsterdam, Netherlands",489,,1738,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A139,0063 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere Bruyloft, van denzelven",,Painting,,,,"Unknown, 21:00 fl",,,,,,,,1738 Oct 01,,,Anonymous,"Amsterdam, Netherlands",489,,1738,2,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
